ID,主題,問題,備選 A,備選 B,備選  C
283,結核病,肺結核病人需要使用單獨的飲水杯、餐具和器皿嗎？,是,僅菜食,否
284,結核病,必須在肺結核患者中調查和檢驗哪些疾病？,梅毒,腮腺炎,愛滋病毒
285,UVHA,治療急性腹瀉疾病時建議下面的方法 ︰,服用抗生素,服用腹瀉藥物,飲用液體
286,UVHA,下列哪一項是腹瀉常見起因？,受污染的水 ,受污染的食物,以上所有
287,UVHA,哪些疾病與慢性腹瀉相關？,病毒病,沙門氏菌病,麩質過敏症
288,UVHA,什麼會導致腹瀉？,細菌,一種病毒,以上所有
289,UVHA,在腹瀉的情況下，除了糊狀大便，還會發生哪些症狀？,腹部疼痛,噁心,以上所有
290,UVHA,哪些是最常推薦的避免和治療脫水的液體？,蔬菜湯,蘇打水,水及自製鹽溶液
291,UVHA,腹瀉便血的名字是什麼？,白喉,慢性腹瀉,痢疾
292,UVHA,在購買大街上出售的食品，最重要的是什麼？,衛生,醃制食品,以上所有
293,UVHA,哪種食物的肉毒桿菌中毒的風險較高？,水,新鮮蔬菜 ,加工食品
294,UVHA,如何預防輪狀病毒腹瀉的傳播？,水果衛生,使用驅蚊器,手衛生
295,UVHA,哪些疾病的可以在懷孕期間由母親傳染給嬰兒？,流感,傷寒,弓形蟲病
296,UVHA,為了避免感染哪種疾病的風險，2 歲以下兒童不得攝取蜂蜜？,百日咳 ,瘧疾,肉毒桿菌中毒
297,旅行疫苗,多長時間在旅行之前您是需要檢查您的疫苗是否與時俱進？ ,1 天,1 周,4 至 8 周
298,旅行疫苗,成年人也需要定期採取疫苗在巴西嗎？,否,僅在緊急情況下,是
299,旅行疫苗,在旅行之前接受黃熱病疫苗 ︰,不是必需,取決於年齡,需要
300,旅行疫苗,哪個實體提供關於疫苗完整和可靠的資訊？,ANVISA,衛生署,以上所有
301,VIGIPEQ,在化學污染物中毒的情況下，應采取什么相應措施？,催吐,攝取牛奶,尋求醫療援助
302,VIGIPEQ,在農藥中毒的情況下，應采取什么相應措施？,催吐,攝取牛奶,尋求醫療援助
