ID,TEMA,PREGUNTA,ALTERNATIVA A,ALTERNATIVA B,ALTERNATIVA C
217,ONCOCERCOSIS,¿Cómo se conoce también a la oncocercosis?,Enfermedad del caracol,Enfermedad de la garrapata,Ceguera de los ríos
218,ONCOCERCOSIS,¿Cuáles son los estados brasileños que registran casos de oncocercosis?,SC y RS,GEl y MT,AM y RR
219,OTROS ANIMALES PONZOÑOSOS,¿Qué hacer en caso de un accidente por animal ponzoñoso?,Correr y saltar,Tomar té,Buscar médico
220,OTROS ANIMALES PONZOÑOSOS,¿Cuál de estos animales es considerado ponzoñoso?,Rata,Murciélago hematófago,Phoneutria
221,OTROS ANIMALES PONZOÑOSOS,¿Cuál de estos animales es considerado ponzoñoso?,Perro,Pez globo,Escorpión
222,OTROS ANIMALES PONZOÑOSOS,¿Cuál de estos animales es considerado ponzoñoso?,Lagartija,Pez espada,Serpiente yararacusú
223,OTROS ANIMALES PONZOÑOSOS,¿Cuál de estos animales es considerado ponzoñoso?,Serpiente de cristal,Pseudoescorpión,Tijereta
224,OTROS ANIMALES PONZOÑOSOS,¿Cuál de estos animales es considerado ponzoñoso?,Serpiente ciega,Tiburón,Aguaviva
225,POLIOMIELITIS,¿La poliomielitis es una enfermedad  causada por qué microorganismo?,Bacteria,Hongos,Virus
226,POLIOMIELITIS,¿Cómo se conoce popularmente a la poliomielitis?,Laringotraqueobronquitis,Tos larga,Parálisis infantil
227,POLIOMIELITIS,"En general, ¿cuál es el período de incubación para la poliomielitis?",1 a 6 días,5 a 15 días,7 a 12 días
228,POLIOMIELITIS,¿Cuál es la principal medida de prevención para la poliomielitis?,Antibioticoterapia,Uso de preservativos,Vacunación
229,POLIOMIELITIS,¿Los menores de 15 años que presenten parálisis flácida aguda se sospecha de que contrajeron qué enfermedad?,Tétanos,Tosferina,Poliomielitis
230,RABIA,¿Quién transmite la rabia?,Mosquitos,Aves,Mamíferos
231,RABIA,¿Cuáles de estos son los transmisores de la rabia?,Conejo y Hámster,Gallina y Pato,Perros y Gatos
232,RABIA,¿Cuáles de estas opciones es un modo de transmisión de la rabia?,Contacto con basura,Picadura de mosquito,Mordedura
233,RABIA,¿Cuáles de las opciones de abajo son síntomas de rabia en el hombre?,Manchas rojas,Diarrea,Espasmos musculares
234,RABIA,¿Cuáles son las principales señales y síntomas de la rabia en el animal (perro o gato)?,Mueve la cola,Se pone manso,No se alimenta
235,RABIA,¿Cómo prevenir la rabia?,No salir de casa,Evitar vertederos,Vacunar perros y gatos
236,RABIA,¿La rabia humana tiene cura?,Sí,A veces,¡No tiene cura y mata!
237,DESINFECTANTES,Los productos destinados a la limpieza de superficies inanimadas son:,Cosméticos,Antioxidantes,Desinfectantes
238,DESINFECTANTES,Al ingerir o inhalar accidentalmente un producto desinfectante usted siempre debe:,Provocar vómito,Beber agua,Leer el rótulo
239,SARAMPIÓN,¿El sarampión es una enfermedad infecto-contagiosa causada por?,Bacteria,Protozoarios,Virus
240,SARAMPIÓN,La transmisión del virus del sarampión ocurre por:,Oral o fecal,Aedes aegypti,Vías respiratorias
241,SARAMPIÓN,¿Cuál de estas es una señal característica del sarampión?,Conjuntivitis,Dolor de cabeza,Machas rojas
242,SARAMPIÓN,¿Cuál es el período aproximado de incubación del sarampión?,5 días,3 días,10 días
243,SARAMPIÓN,¿Cuál es la forma más eficaz de prevención contra el sarampión?,Uso de EPI,Aislamiento,Vacuna
244,SARAMPIÓN,¿Cuál es el criterio de confirmación de un caso de sarampión?,Biopsia,Diagnóstico Imagen,Pruebas de Laboratorio
245,SARAMPIÓN,¿Cuál es el plazo ideal para notificar un caso sospechoso de sarampión?,Hasta 48 horas,Hasta 72 horas,Hasta 24 horas
246,SARAMPIÓN,¿Cuál es el plazo ideal para realizar un bloqueo de vacuna contra sarampión?,Hasta 1 mes ,Hasta 96 horas,Hasta 72 horas
247,SARAMPIÓN,¿Cuál es el público no indicado para recibir la vacuna triple o tetra viral?,Personas de edad avanzada,Niño de 1 año,Gestantes  
248,SALUD DEL TRABAJADOR Y SUS,La garantía de los derechos a la salud:,No es ley,No es obligatoria,Es ley
249,SALUD DEL TRABAJADOR Y SUS,¿Cuál es la sigla del Sistema Único de Salud?,SISU,SINAN,SUS
250,SALUD DEL TRABAJADOR Y SUS,"Para el SUS, están cubiertos por los derechos a la salud:",Trabajadores,Quien tiene seguro,Todos 
251,SALUD DEL TRABAJADOR Y SUS,¿El uso del cinturón de seguridad es obligatorio para trabajos en alturas superiores a cuántos metros?,1 m,3 m,2 m 
252,SALUD DEL TRABAJADOR Y SUS,Es correcto usar en incendio con líquidos inflamables:,Agua,Co2,Espuma 
253,SALUD DEL TRABAJADOR Y SUS,¿Cuáles son los Límites mínimos y máximos de tolerancia al ruido?,85 a 110,80 a 115,85 a 115 
254,SERPIENTE,"¿Qué debe hacerse, inmediatamente, en caso de accidente con serpiente?",Usar torniquete,Pasar alcohol,Buscar SUS
255,SERPIENTE,¿Cuál de estas serpientes ponzoñosas es la que causa el mayor número de accidentes en Brasil?,Serpiente de cascabel,Coral,Yarará
256,SERPIENTE,¿Cuál de estas serpientes es considerada ponzoñosa?,Anaconda,Boa,Yarará
257,SERPIENTE,¿Qué debe hacerse al depararse con una serpiente?,Intentar capturar,Tomar una selfie,Llamar a la autoridad
258,SERPIENTE,"¿Cuáles serpientes llevan a un cuadro clínico conocido popularmente como ""cara de borracho""?",Yarará y serpiente de cascabel,Anaconda y cascabel,Serpiente de cascabel y coral
259,TÉTANOS,¿Qué vacuna es recomendada para prevenir tétanos en adultos?,Triple viral,VIP,Doble adulto
260,TÉTANOS,¿Qué vacuna es recomendada para que las gestantes prevengan el tétanos neonatal?,BCG,Triple viral,Doble adulto
261,TÉTANOS,¿Dónde puede ser encontrada la bacteria de tétanos?,Sólo en clavos,Sólo en el suelo,Diversos ambientes
262,TÉTANOS,¿Cómo saber si usted tiene tétanos?,Pseudomembrana,Accesos de tos ,Rigidez muscular
263,TÉTANOS,¿El tétanos es una enfermedad causada por qué microorganismo?,Virus,Hongos,Bacteria
264,TÉTANOS ,¿Cuál es el agente etiológico del tétanos?,Salmonella entérica,Bordetella pertussis,Clostridium tetani
265,TRACOMA,¿El tracoma es causado por?,Virus,Protozoarios,Bacteria
266,TRACOMA,¿El tracoma es una enfermedad que ataca qué?,Nervios periféricos,Aparato digestivo,Los ojos
267,TRACOMA,¿Cómo se trata el tracoma?,Analgésico,Antialérgico,Antibiótico
268,TUBERCULOSIS,¿Qué es la tuberculosis?,Enfermedad viral,Enfermedad fúngica,Enfermedad bacteriana
269,TUBERCULOSIS,¿Cuál es la bacteria que causa la tuberculosis?,Treponema pallidum,Bordetella pertusis,Bacilo de koch
270,TUBERCULOSIS,¿Cuál es la vacuna que previne las formas más graves de la tuberculosis?,Influenza,Rubéola,BCG
271,TUBERCULOSIS,¿Cómo se adquiere la tuberculosis?,Relación sexual,Mediante besos y abrazos,Tos o estornudo
272,TUBERCULOSIS,¿Cuál es el órgano más frecuentemente afectado por la tuberculosis?,Hígado,Corazón,Pulmón
273,TUBERCULOSIS,"¿Cuáles son los órganos, además del pulmón, que a tuberculosis también puede atacar?",Solamente intestino,Solamente huesos,Todos
274,TUBERCULOSIS,¿Todas las personas con tuberculosis pueden transmitir la enfermedad?,Sí,Sólo los fumadores,No
275,TUBERCULOSIS,¿Cuáles de estos son síntomas comunes de tuberculosis?,Diarrea,Desmayo,Tos
276,TUBERCULOSIS,¿Después de cuánto tiempo de tos debo sospechar de tuberculosis? ,1 semana,2 semanas,3 semanas
277,TUBERCULOSIS,¿Qué servicio de salud debe ser buscado en el caso de sospecha de tuberculosis? ,Servicio especial,Primeros auxilios,UBS
278,TUBERCULOSIS,¿Cuánto tiempo dura el tratamiento de la tuberculosis?,2 meses,4 meses,Como mínimo 6 meses
279,TUBERCULOSIS,¿Cuáles son las pruebas realizadas para el diagnóstico de la tuberculosis pulmonar?,Análisis de sangre,Análisis de orina,Pruebas de esputo
280,TUBERCULOSIS,¿Cuánto cuesta el tratamiento para quien tiene tuberculosis?,R$ 20.00,R$ 300.00,Es gratuito en SUS
281,TUBERCULOSIS,¿Qué debe evitar usted para prevenirse contra la tuberculosis?,Abrazos,Besos,Lugares cerrados
282,TUBERCULOSIS,¿Quién ofrece los medicamentos para el tratamiento de la tuberculosis?,Red privada,OMS,SUS
283,TUBERCULOSIS,"¿Es necesario separar vasos, cubiertos, platos y otros utensilios del paciente con tuberculosis?",Sí,Solamente platos,No
284,TUBERCULOSIS,¿Qué enfermedad debe ser investigada y detectada en las personas con tuberculosis?,Sífilis,Paperas,VIH
285,UVHA,En el tratamiento de la Enfermedad Diarreica Aguda se recomienda:,Iniciar antibiótico,Tomar antidiarreico,Tomar líquidos
286,UVHA,¿Cuál de estas es una causa común de diarrea?,Agua contaminada ,Alimento contaminado,Todas las de arriba
287,UVHA,¿Cuál de estas enfermedades está asociada a la diarrea crónica?,Virosis,Salmonelosis,Enfermedad celiaca
288,UVHA,¿Las diarreas pueden ser causadas por?,Bacterias,Virus,Todas las de arriba
289,UVHA,"Además de heces pastosas, ¿cuál de estos síntomas también puede ocurrir durante la diarrea?",Dolor abdominal,Náuseas,Todas las de arriba
290,UVHA,¿Cuál de estos fluidos es el más indicado para evitar y tratar la deshidratación?,Caldo de vegetales,Soda,Agua y suero casero
291,UVHA,¿Cómo se llama la diarrea con sangre visible en las heces?,Difteria,Diarrea crónica,Disentería
292,UVHA,¿Qué es más importante para seleccionar alimentos vendidos en la calle?,Higiene,Alimento conservado,Todas las de arriba
293,UVHA,¿Qué alimento ofrece mayor riesgo para el Botulismo?,Agua,Verduras frescas ,Embutidos
294,UVHA,¿Cómo prevenir la transmisión de la diarrea por rotavirus?,Higiene de frutas,Uso de repelente,Higiene de las manos
295,UVHA,¿Cuál de estas enfermedades puede ser transmitida de la madre para el hijo durante la gestación?,Gripe,Fiebre tifoidea,Toxoplasmosis
296,UVHA,¿Los niños de hasta 2 años no pueden ingerir miel debido al riesgo de adquirir qué enfermedad?,Tosferina ,Malaria,Botulismo
297,VACUNACIÓN DEL VIAJANTE,¿Cuánto tiempo antes de viajar necesita verificar si sus vacunas están actualizadas? ,1 día,1 semana,4 a 8 semanas
298,VACUNACIÓN DEL VIAJANTE,¿En Brasil el adulto también debe recibir vacunas periódicamente?,No,Sólo en emergencia,Sí
299,VACUNACIÓN DEL VIAJANTE,Vacunarse para fiebre amarilla antes de viajar:,No es necesario,Depende de la edad,Es necesario
300,VACUNACIÓN DEL VIAJANTE,¿En qué sitios puede obtenerse información completa y confiable sobre vacunación?,ANVISA,Ministerio de Salud,Todas las opciones
301,VIGIPEQ,¿Qué hacer en casos de intoxicaciones por contaminantes químicos?,Inducir vómito,Ingerir leche,Buscar médico
302,VIGIPEQ,¿Qué hacer en casos de intoxicaciones por agrotóxicos?,Inducir vómito,Ingerir leche,Buscar médico
