ID,THÈME,QUESTION,RÉPONSE A,RÉPONSE B,RÉPONSE C
206,MÉDICAMENTS,Quelle catégorie de médicaments sont utilisés pour le traitement des infections bactériennes ?,Les antiémétiques,Les antiviraux,Les antibiotiques
207,MÉDICAMENTS,Quelle catégorie de médicaments sont utilisés pour traiter les douleurs ?,Les antiacides,Les antinéoplasiques,Les analgésiques
208,MÉDICAMENTS,Quelle catégorie de médicaments sont utilisés pour le traitement du cancer ?,Les médicaments contre les ulcères,Les antispasmodiques,Les antinéoplasiques
209,MÉDICAMENTS,Où peut-on trouver les informations les plus importantes sur un médicament ?,Sur l’ordonnance,Sur l’emballage primaire,La notice
210,MÉDICAMENTS,Tout soin permettant de guérir ou de soulager les symptômes d'une maladie s’appelle :,Placebo,Le vaccin,Remède
211,MÉDICAMENTS,Les médicaments obtenus directement à partir d’extraits de plante sont appelés :,Infusions ou tisanes,Homéopathique,Phytothérapie
212,MÉNINGITE,Lequel de ces signes et symptômes correspondent à la méningite ?,Les vomissements,La toux,La raideur de la nuque
213,MÉNINGITE,Quelle est la maladie qui provoque une inflammation des méninges ?,L’accident vasculaire cérébral,La thrombose,La méningite
214,MÉNINGITE,Le type le plus grave de méningite est causé par quel micro-organisme ?,Un virus,Les champignons,Les bactéries
215,MICROCÉPHALIE,Qu’est-ce que la microcéphalie ?,La bactérie,Un virus,Une malformation fœtale
216,ONCHOCERCOSE,Quel est le moustique qui transmet l'onchocercose ?,Aedes aegypti,Culex,Le simulie
217,ONCHOCERCOSE,Sous quel terme est aussi connu l’onchocercose ?,La maladie de l'escargot,La maladie de la tique,La cécité des rivières
218,ONCHOCERCOSE,Quels états brésiliens enregistrent des cas d’onchocercose ?,SC et RS,GO et MT,AM et RR
219,AUTRES ANIMAUX VENIMEUX,Que faire en cas de morsure d’animal venimeux ?,Courir et sauter,Boire du thé,Contacter un médecin
220,AUTRES ANIMAUX VENIMEUX,Lequel de ces animaux est considéré comme venimeux ?,Le rat,La chauve-souris hématophage,L’araignée-banane (Phoneutria)
221,AUTRES ANIMAUX VENIMEUX,Lequel de ces animaux est considéré comme venimeux ?,Le chien,Le tétrodon,Le scorpion
222,AUTRES ANIMAUX VENIMEUX,Lequel de ces animaux est considéré comme venimeux ?,Le gecko,Le trichiurus,Le bothrops jararacussu
223,AUTRES ANIMAUX VENIMEUX,Lequel de ces animaux est considéré comme venimeux ?,Le serpent de verre,Le pseudoscorpion,La scolopendre
224,AUTRES ANIMAUX VENIMEUX,Lequel de ces animaux est considéré comme venimeux ?,Le serpent aveugle,Le requin,La méduse
225,POLIOMYÉLITE,Quel micro-organisme est responsable de la poliomyélite ?,La bactérie,Les champignons,Un virus
226,POLIOMYÉLITE,Sous quel terme commun la poliomyélite est-elle connue ?,Croup,Toux chronique,La paralysie infantile
227,POLIOMYÉLITE,"En général, quelle est la durée d'incubation de la poliomyélite ?",1 à 6 jours,5 à 15 jours,7 à 12 jours
228,POLIOMYÉLITE,Quelle est la principale mesure de prévention contre la poliomyélite ?,La thérapie antibiotique,L’utilisation de préservatifs,La vaccination
229,POLIOMYÉLITE,Quelle maladie se traduit par une paralysie flasque aiguë chez le moins de 15 ans ?,Le tétanos,La coqueluche,La poliomyélite
230,RAGE,Qui transmet la rage ?,Les moustiques,Les oiseaux,Les mammifères
231,RAGE,Lesquels de ces animaux transmettent la rage ?,Les lapins et les hamsters,Les poules et les canards,Les chiens et les chats
232,RAGE,Laquelle de ces options est un mode de transmission de la rage ?,Le contact avec des ordures,La piqûre de moustique,La morsure
233,RAGE,Lequel des symptômes ci-dessous est celui de la rage chez l'homme ?,Les taches rouges,La diarrhée,Les contractions musculaires
234,RAGE,Quels sont les principaux signes et symptômes de la rage chez l'animal (chien ou chat) ?,Remue la queue,La docilité,Ne s’alimente plus
235,RAGE,Comment prévenir la rage ?,Ne pas sortir de la maison,Éviter les décharges publiques,Vacciner les chiens et les chats
236,RAGE,Existe-t-il une guérison pour la rage humaine ?,Oui,Parfois,Pas de guérison et peut tuer!
237,DÉSINFECTANTS,Les produits destinés au nettoyage des sols sont :,Les produits cosmétiques,Les antioxydants,Les désinfectants
238,DÉSINFECTANTS,En cas d’ingestion ou d’inhalation accidentelle d’un désinfectant vous devez toujours :,Forcer le vomissement,Boire de l'eau,Lire l'étiquette
239,ROUGEOLE,La rougeole est une maladie infectieuse contagieuse causée par ?,La bactérie,Les protozoaires,Un virus
240,ROUGEOLE,Le virus de la rougeole se transmet par :,Par voie orale ou fécale,Aedes aegypti,Les voies respiratoires
241,ROUGEOLE,Lequel de ces signes est caractéristique de la rougeole ?,La conjonctivite,Les maux de tête,Les taches rouges
242,ROUGEOLE,Quelle est la durée approximative d’incubation de la rougeole ?,5 jours,3 jours,10 jours
243,ROUGEOLE,Quelle est la forme la plus efficace de prévention contre la rougeole ?,L’utilisation des EPI,L’isolement,Le vaccin
244,ROUGEOLE,Quel critère permet de confirmer la rougeole ?,La biopsie,Le diagnostic par imagerie,Les analyses de laboratoire
245,ROUGEOLE,Quelle est la période idéale pour la notification des cas suspects de rougeole ?,Jusqu'à 48 heures,Jusqu'à 72 heures,Jusqu'à 24 heures
246,ROUGEOLE,Quelle est la période idéale pour effectuer le blocage des vaccins contre la rougeole ?,Jusqu'à 1 mois ,Jusqu'à 96 heures,Jusqu'à 72 heures
247,ROUGEOLE,Quel public n'est pas indiqué pour recevoir le vaccin ROR ou tétra viral ?,Les personnes âgées,Les enfants de 1 an,Les femmes enceintes  
248,SANTÉ DES TRAVAILLEURS ET SUS,La garantie du droit à la santé :,N'est pas un droit,N’est pas obligatoire,Est un droit
249,SANTÉ DES TRAVAILLEURS ET SUS,Quel est l'acronyme du Système Unique de Santé ?,SISU,SINAN,Au SUS
250,SANTÉ DES TRAVAILLEURS ET SUS,"Dans le système SUS, qui est couvert par le droit à la santé ?",Les travailleurs,Les personnes ayant souscrits une assurance,Tous 
251,SANTÉ DES TRAVAILLEURS ET SUS,"À partir de combien de mètres, le travail en hauteur exige l’utilisation d’une ceinture de sécurité ?",1 m,3 m,2 m 
252,SANTÉ DES TRAVAILLEURS ET SUS,Quel produit utiliser en cas d’incendie de liquides inflammables ?,L’eau,CO2,Mousse 
253,SANTÉ DES TRAVAILLEURS ET SUS,Quelles sont les seuils minimaux et maximaux de tolérance au bruit ?,85 à 110,80 à 115,85 à 115 
254,SERPENT,Que faut-il faire immédiatement après une morsure de serpent ?,Faire un garrot,Passer de l'alcool,Contacter le SUS
255,SERPENT,Lequel de ces serpents venimeux cause le plus grand nombre de morsures au Brésil ?,Le serpent à sonnette,Le serpent corail,Le bothrops
256,SERPENT,Lequel de ces serpents est considéré venimeux ?,L’anaconda,Le boa,Le bothrops
257,SERPENT,Que faire si vous trouvez un serpent ?,Essayer de l’attraper,Prendre un selfie,Prévenir les autorités
258,SERPENT,Quels serpents provoquent un état clinique populairement connu sous l’expression «tête d’ivrogne» ?,Les bothrops et les serpents à sonnette,L’anaconda et le serpent à sonnettes,Le serpent à sonnettes et corail
259,TÉTANOS,Quel vaccin est recommandé pour prévenir le tétanos chez l’adulte ?,Le ROR,Le vaccin VIP,Double adulte
260,TÉTANOS,Quel vaccin est recommandé pour les femmes enceintes pour prévenir le tétanos néonatal ?,Le BCG,Le ROR,Double adulte
261,TÉTANOS,Où trouve-t-on la bactérie tétanique ?,Seulement sur les clous,Seulement dans le sol,Dans des environnements divers
262,TÉTANOS,Comment savoir si on a contracté le tétanos ?,Pseudomembrane,Quintes de toux ,La raideur musculaire
263,TÉTANOS,Quel micro-organisme est responsable du tétanos ?,Un virus,Les champignons,La bactérie
264,TÉTANOS ,Quel est l’agent étiologique du tétanos ?,Salmonella enterica,Bordetella pertussis,Clostridium tetani
265,TRACHOME,Qu’est-ce qui cause le trachome ?,Un virus,Les protozoaires,La bactérie
266,TRACHOME,Quel organe est affecté par le trachome ?,Les nerfs périphériques,L’appareil digestif,Les yeux
267,TRACHOME,Comment traite-t-on le trachome ?,Par les analgésiques,Les antiallergiques,Prendre des antibiotiques
268,TUBERCULOSE,Qu'est-ce que la tuberculose ?,Une maladie virale,Une maladie fongique,Une maladie bactérienne
269,TUBERCULOSE,Quelle est la bactérie qui cause la tuberculose ?,Treponema pallidum,Bordetella pertusis,Le bacille de Koch
270,TUBERCULOSE,Quel est le vaccin qui prévient les formes les plus graves de tuberculose ?,La grippe,La rubéole,Le BCG
271,TUBERCULOSE,Comment attrape-t-on la tuberculose ?,Les rapports sexuels,Par les baisers et les câlins,La toux ou les éternuements
272,TUBERCULOSE,Quel est l'organe plus souvent touché par la tuberculose ?,Le foie,Le cœur,Les poumons
273,TUBERCULOSE,"En plus des poumons, quels sont les organes que la tuberculose peut également affecter ?",Seulement les intestins,Seulement les os,Tous
274,TUBERCULOSE,Toutes les personnes atteintes de tuberculose sont-elles contagieuses ?,Oui,Seulement les fumeurs,Non
275,TUBERCULOSE,Lequel de ces symptômes est fréquent chez la personne atteinte de tuberculose ?,La diarrhée,Les évanouissements,La toux
276,TUBERCULOSE,Après une durée de toux de combien de temps devrais-je suspecter la tuberculose ? ,1 semaine,2 semaines,3 semaines
277,TUBERCULOSE,Quel service de santé doit-on rechercher en cas de suspicion de tuberculose ? ,Le service spécial,Les urgences,UBS (Unité de base de Santé)
278,TUBERCULOSE,Combien de temps dure le traitement de la tuberculose ?,2 mois,4 mois,Au moins 6 mois
279,TUBERCULOSE,Quels sont les examens qui permettent d’établir le diagnostic de la tuberculose pulmonaire ?,Le test sanguin,L’examen urinaire,Analyse des crachats
280,TUBERCULOSE,Combien coûte le traitement contre la tuberculose ?,R$ 20.00,R$ 300.00,Gratuit par le SUS
281,TUBERCULOSE,Qu’est-ce qui devrait être évité pour prévenir la tuberculose ?,Les câlins,Les baisers,Les lieux fermés
282,TUBERCULOSE,Qui offre les médicaments pour le traitement de la tuberculose?,Le réseau privé,L’OMS,Au SUS
283,TUBERCULOSE,"Faut-il séparer les verres, les couverts et les assiettes d’un patient atteint de la tuberculose ?",Oui,Uniquement les assiettes,Non
284,TUBERCULOSE,Quel maladie doit être dépistée et analysée chez les personnes atteintes de la tuberculose ?,La syphilis,Les oreillons,Le VIH
285,UVHA,"Dans le traitement de la diarrhée aiguë, il est recommandé :",Prendre des antibiotiques,Prendre des anti-diarrhéiques,Prendre des liquides
286,UVHA,Lequel de ces facteurs est une cause fréquente de diarrhée ?,L’eau contaminée ,Les aliments contaminés,Toutes les réponses ci-dessus
287,UVHA,Laquelle de ces maladies est associée à la diarrhée chronique ?,Les maladies virales,La salmonellose,La maladie cœliaque
288,UVHA,Quelle est la cause de la diarrhée ?,Les bactéries,Un virus,Toutes les réponses ci-dessus
289,UVHA,"En plus des selles pâteuses, lequel de ces symptômes peut également apparaître lors d’une diarrhée ?",Les douleurs abdominales,Les nausées,Toutes les réponses ci-dessus
290,UVHA,Lequel de ces liquides est le plus indiqué pour prévenir et traiter la déshydratation ?,Le bouillon de légumes,Le soda,L'eau et le sérum fait-maison
291,UVHA,Comment s'appelle la diarrhée présentant du sang visible dans les selles ?,La diphtérie,La diarrhée chronique,La dysenterie
292,UVHA,Qu’est-ce qui est le plus important pour choisir des aliments vendus dans la rue ?,L’hygiène,Les aliments en conserve,Toutes les réponses ci-dessus
293,UVHA,Quel aliment présente le plus grand risque de botulisme ?,L’eau,Les légumes frais ,Les conserves
294,UVHA,Comment prévenir la transmission de diarrhée à rotavirus ?,L’hygiène des fruits,L’utilisation de répulsif,L’hygiène des mains
295,UVHA,Laquelle de ces maladies peut être transmise de la mère à l’enfant pendant la grossesse ?,La grippe,La fièvre typhoïde,La toxoplasmose
296,UVHA,Quelle maladie risque de contracter les enfants de moins de 2 ans en ingérant du miel ?,La coqueluche ,Le paludisme,Le botulisme
297,VACCINATION DES VOYAGEURS,Combien de temps avant un voyage devez-vous vérifier si vos vaccinations sont à jour ? ,1 jour,1 semaine,4 à 8 semaines
298,VACCINATION DES VOYAGEURS,Est-ce qu’au Brésil l'adulte doit aussi recevoir des vaccins périodiquement ?,Non,Uniquement en cas d'urgence,Oui
299,VACCINATION DES VOYAGEURS,Se faire vacciner contre la fièvre jaune avant de voyager :,N'est pas nécessaire,Varie selon l'âge,N'est pas nécessaire
300,VACCINATION DES VOYAGEURS,Où peut-on obtenir des informations fiables et complètes sur la vaccination ?,ANVISA,Ministère de la santé,Toutes les options
301,VIGIPEQ,Que faire en cas d'intoxication par des contaminants chimiques ?,Forcer le vomissement,Boire du lait,Consulter un médecin
302,VIGIPEQ,Que faire en cas d'intoxication par des pesticides ?,Forcer le vomissement,Boire du lait,Consulter un médecin
